id_evento,fecha_evento,anio,nombre_evento,categoria,ambito,mecanismo_dominante,descripcion,partidos_afectados,impacto_probable,explicacion_impacto,relevancia_1_5,confianza_analitica,fuentes
ESP-016,2019-10-14,2019,Sentencia del procés y disturbios en Cataluña,Justicia/territorial,Nacional,territorial,El Tribunal Supremo condenó a los líderes del procés y se produjeron protestas intensas en Cataluña.,"PSOE, PP, Vox, Ciudadanos, ERC, Junts",PP (+); Vox (+); Ciudadanos (+); PSOE (-); ERC (+); Junts (+),"La cuestión territorial volvió a dominar la agenda y suele favorecer a los partidos con posiciones más nítidas, tanto en el unionismo como en el independentismo.",5,Alta,https://www.reuters.com/site-search/?query=Spain+Catalan+separatist+leaders+sentenced+October+2019 | https://www.poderjudicial.es/ | https://es.wikipedia.org/wiki/Juicio_del_proc%C3%A9s
ESP-017,2019-10-24,2019,Exhumación de Franco,Identidad/memoria,Nacional,movilización ideológica,El Gobierno culminó la exhumación de Franco del Valle de los Caídos tras meses de batalla política y judicial.,"PSOE, PP, Vox, Ciudadanos",PSOE (+); Vox (+); PP (mixto); Ciudadanos (-),"El PSOE activó a parte de su base con una decisión simbólica, mientras la derecha más dura encontró un nuevo vector de polarización identitaria.",3,Media,https://www.reuters.com/site-search/?query=Franco+exhumed+Spain+October+2019 | https://www.lamoncloa.gob.es/ | https://es.wikipedia.org/wiki/Exhumaci%C3%B3n_de_Francisco_Franco
ESP-018,2019-11-10,2019,Elecciones generales del 10N,Elecciones/resultados,Nacional,gobernabilidad,"La repetición electoral reforzó al PP y a Vox, hundió a Ciudadanos y debilitó la posición negociadora del PSOE y de Unidas Podemos.","PSOE, PP, Vox, Ciudadanos, Unidas Podemos",PP (+); Vox (++); Ciudadanos (--); PSOE (-); Unidas Podemos (-),El castigo al bloqueo fue muy asimétrico. Ciudadanos quedó casi desintegrado y Vox se consolidó como tercer actor del sistema.,5,Alta,https://www.reuters.com/site-search/?query=Spain+election+November+2019+results+Vox+Ciudadanos | https://es.wikipedia.org/wiki/Elecciones_generales_de_Espa%C3%B1a_de_noviembre_de_2019 | https://www.infoelectoral.interior.gob.es/
ESP-019,2019-11-12,2019,Preacuerdo exprés entre PSOE y Unidas Podemos para gobernar,Pactos/coaliciones,Nacional,gobernabilidad,"Dos días después del 10N, PSOE y Unidas Podemos sellaron un preacuerdo para formar el primer gobierno de coalición de la democracia reciente.","PSOE, Unidas Podemos, PP, Vox",PSOE (+); Unidas Podemos (+); PP/Vox (+),"El pacto redujo el coste del bloqueo para la izquierda, pero también dio a la derecha una diana clara contra un gobierno de coalición apoyado por socios nacionalistas.",4,Alta,https://www.reuters.com/site-search/?query=PSOE+Unidas+Podemos+coalition+agreement+November+2019 | https://www.lamoncloa.gob.es/ | https://www.congreso.es/
ESP-020,2020-01-07,2020,Investidura ajustada de Sánchez y primer gobierno de coalición,Pactos/coaliciones,Nacional,gobernabilidad,Pedro Sánchez fue investido por estrecho margen y arrancó el primer gobierno de coalición estatal entre PSOE y Unidas Podemos.,"PSOE, Unidas Podemos, PP, Vox, ERC, EH Bildu, PNV",PSOE (+); Unidas Podemos (+); PP (+); Vox (+); ERC/Bildu/PNV (+),"El acceso al gobierno reforzó a la izquierda gobernante y a sus socios parlamentarios, pero también intensificó la polarización y dio a PP y Vox una narrativa de ilegitimidad política.",5,Alta,https://www.reuters.com/site-search/?query=Spain+Sanchez+investiture+January+2020+coalition | https://www.congreso.es/ | https://www.lamoncloa.gob.es/
ESP-021,2020-03-14,2020,Estado de alarma por la COVID-19,Gestión de crisis,Nacional,gestión de crisis,España decretó el estado de alarma para frenar la pandemia y centralizó decisiones excepcionales de salud pública y movilidad.,"PSOE, Unidas Podemos, PP, Vox",PSOE/Unidas Podemos (mixto); PP/Vox (+ a medio plazo),"En el corto plazo hubo cierto cierre de filas institucional, pero conforme avanzó la pandemia la evaluación de gestión se convirtió en un terreno de desgaste para el gobierno.",5,Alta,https://www.reuters.com/site-search/?query=Spain+state+of+alarm+COVID+March+2020 | https://www.boe.es/eli/es/rd/2020/03/14/463 | https://es.wikipedia.org/wiki/Pandemia_de_COVID-19_en_Espa%C3%B1a
ESP-022,2020-08-03,2020,Juan Carlos I abandona España,Institucional/monarquía,Nacional,identidad institucional,La salida del rey emérito en plena controversia por sus finanzas reabrió el debate sobre la Corona y sus costes políticos.,"PSOE, Unidas Podemos, PP, Vox",PSOE (mixto); Unidas Podemos (+); PP (+); Vox (+),"El episodio afectó de forma distinta según el eje monarquía-república. Unidas Podemos pudo enfatizar su crítica institucional, mientras PP y Vox reforzaron la defensa de la Corona ante su electorado.",3,Media,https://www.reuters.com/site-search/?query=Juan+Carlos+leaves+Spain+August+2020 | https://www.casareal.es/ | https://es.wikipedia.org/wiki/Juan_Carlos_I_de_Espa%C3%B1a
ESP-023,2020-10-22,2020,Fracasa la moción de censura de Vox y Casado rompe con Abascal,Institucional/gobernabilidad,Nacional,competencia intrabloque derecha,La moción impulsada por Vox fue derrotada y Pablo Casado aprovechó el debate para marcar distancias con Santiago Abascal.,"PP, Vox, Ciudadanos",PP (+); Vox (-); Ciudadanos (-),El debate permitió al PP recuperar parte del espacio de oposición institucional y presentar a Vox como actor testimonial y poco eficaz.,4,Alta,https://www.reuters.com/site-search/?query=Vox+no+confidence+motion+fails+Casado+breaks+October+2020+Spain | https://www.congreso.es/ | https://es.wikipedia.org/wiki/Moci%C3%B3n_de_censura_contra_Pedro_S%C3%A1nchez_de_2020
ESP-024,2020-10-25,2020,Segundo estado de alarma y fatiga pandémica,Gestión de crisis,Nacional,gestión de crisis,El Gobierno declaró un segundo estado de alarma de larga duración para gestionar la segunda ola de la pandemia.,"PSOE, Unidas Podemos, PP, Vox",PSOE/Unidas Podemos (mixto-negativo); PP (+); Vox (+),La prolongación de restricciones y la sensación de cansancio institucional alimentaron el marco de desgaste del gobierno y fortalecieron a la oposición.,4,Alta,https://www.reuters.com/site-search/?query=Spain+second+state+of+alarm+October+2020 | https://www.boe.es/ | https://es.wikipedia.org/wiki/Pandemia_de_COVID-19_en_Espa%C3%B1a
ESP-025,2020-12-03,2020,Presupuestos de 2021 con apoyo de ERC y EH Bildu,Pactos/coaliciones,Nacional,gobernabilidad,Las cuentas de 2021 consolidaron el bloque de investidura y mostraron que el Gobierno podía aprobar su agenda pese a la minoría.,"PSOE, Unidas Podemos, PP, Vox, ERC, EH Bildu, Ciudadanos",PSOE (+); Unidas Podemos (+); ERC (+); EH Bildu (+); PP/Vox (+); Ciudadanos (-),"Aumentó la credibilidad de la legislatura para la izquierda y sus socios, pero a la vez ofreció a la derecha un blanco movilizador al vincular al Gobierno con Bildu.",4,Alta,https://www.reuters.com/site-search/?query=Spain+2021+budget+ERC+Bildu+December+2020 | https://www.congreso.es/ | https://www.boe.es/
ESP-026,2021-03-10,2021,Terremoto político en Murcia y adelanto electoral en Madrid,Liderazgo partidario,Nacional,competencia intrabloque,La moción en Murcia y la reacción de Ayuso detonaron una reordenación del centro-derecha y precipitaron elecciones en Madrid.,"PP, Ciudadanos, PSOE, Unidas Podemos",PP (+); Ciudadanos (--); PSOE (mixto); Unidas Podemos (mixto),El episodio reforzó la idea de que Ciudadanos era inviable como partido bisagra y dio al PP una oportunidad de concentración del voto.,4,Alta,https://www.reuters.com/site-search/?query=Murcia+political+crisis+Ayuso+snap+election+March+2021+Spain | https://www.asambleamadrid.es/ | https://es.wikipedia.org/wiki/Crisis_pol%C3%ADtica_en_la_Regi%C3%B3n_de_Murcia_de_2021
ESP-027,2021-05-04,2021,"Elecciones madrileñas: triunfo de Ayuso, hundimiento de Cs y salida de Iglesias",Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque,"Ayuso ganó con claridad en Madrid, Ciudadanos desapareció de la Asamblea y Pablo Iglesias anunció su retirada política.","PP, Vox, Ciudadanos, PSOE, Unidas Podemos, Más Madrid",PP (++); Vox (+); Ciudadanos (--); PSOE (-); Unidas Podemos (--); Más Madrid (+),"Madrid actuó como laboratorio nacional. Consolidó el liderazgo competitivo del PP, aceleró el final de Ciudadanos y dejó tocada la oferta de la izquierda estatal.",5,Alta,https://www.reuters.com/site-search/?query=Madrid+election+Ayuso+May+2021+Iglesias+Ciudadanos | https://es.wikipedia.org/wiki/Elecciones_a_la_Asamblea_de_Madrid_de_2021 | https://www.infoelectoral.interior.gob.es/
ESP-028,2021-05-18,2021,Crisis migratoria de Ceuta,Inmigración/seguridad,Nacional,inmigración,La entrada masiva de migrantes en Ceuta desató una crisis fronteriza con Marruecos y colocó la seguridad de fronteras en el centro del debate.,"PSOE, Unidas Podemos, PP, Vox",PSOE (-); PP (+); Vox (+); Unidas Podemos (mixto),Los episodios de alta visibilidad en fronteras suelen beneficiar a partidos con posiciones más duras sobre control migratorio y castigar al incumbente por percepción de descontrol.,4,Alta,https://www.reuters.com/site-search/?query=Ceuta+migrant+crisis+May+2021+Spain | https://www.lamoncloa.gob.es/ | https://es.wikipedia.org/wiki/Crisis_migratoria_en_Ceuta_de_2021
ESP-029,2021-06-22,2021,Indultos a los líderes del procés,Justicia/territorial,Nacional,territorial,El Gobierno concedió indultos parciales a los líderes independentistas condenados por el procés.,"PSOE, PP, Vox, Ciudadanos, ERC, Junts",PSOE (mixto); PP (+); Vox (+); Ciudadanos (+); ERC (+); Junts (mixto),"Los indultos ayudaron a recomponer puentes con ERC y parte del electorado catalán moderado, pero activaron una fuerte reacción en el voto unionista y conservador.",5,Alta,https://www.reuters.com/site-search/?query=Spain+pardons+Catalan+separatist+leaders+June+2021 | https://www.lamoncloa.gob.es/ | https://www.boe.es/
ESP-030,2021-07-10,2021,Gran remodelación del Gobierno Sánchez,Liderazgo partidario,Nacional,liderazgo y credibilidad,Sánchez relevó a varios ministros clave y buscó relanzar la legislatura con un perfil más político.,"PSOE, Unidas Podemos, PP, Vox",PSOE (+); Unidas Podemos (-); PP/Vox (mixto),"El movimiento fue leído como intento de reset, útil para el PSOE si lograba recuperar agenda, pero también como reconocimiento de desgaste acumulado.",3,Media,https://www.reuters.com/site-search/?query=Spain+Sanchez+cabinet+reshuffle+July+2021 | https://www.lamoncloa.gob.es/ | https://es.wikipedia.org/wiki/XIV_legislatura_de_Espa%C3%B1a
ESP-031,2021-09-14,2021,Crisis del precio de la luz y plan de choque del Gobierno,Economía/coste de vida,Nacional,economía y coste de vida,La subida histórica del precio de la electricidad obligó al Gobierno a anunciar medidas de emergencia y abrió un frente económico de gran visibilidad.,"PSOE, Unidas Podemos, PP, Vox",PSOE (-); Unidas Podemos (mixto); PP (+); Vox (+),"Cuando el coste de vida domina la agenda, el incumbente suele pagar una prima negativa si las soluciones no son percibidas como suficientes o inmediatas.",4,Alta,https://www.reuters.com/site-search/?query=Spain+electricity+prices+emergency+measures+September+2021 | https://www.boe.es/ | https://www.lamoncloa.gob.es/
ESP-032,2022-02-13,2022,Castilla y León abre la puerta al primer gobierno PP-Vox,Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque derecha,Las elecciones dejaron a Vox como socio imprescindible del PP y prepararon el primer acuerdo de gobierno entre ambos partidos.,"PP, Vox, PSOE, Ciudadanos",Vox (++); PP (+); PSOE (-); Ciudadanos (--),La entrada de Vox en la gobernabilidad autonómica normalizó su papel como socio potencial y mostró el colapso casi terminal de Ciudadanos.,5,Alta,https://www.reuters.com/site-search/?query=Castile+Leon+election+Vox+coalition+February+2022+Spain | https://es.wikipedia.org/wiki/Elecciones_a_las_Cortes_de_Castilla_y_Le%C3%B3n_de_2022 | https://www.infoelectoral.interior.gob.es/
ESP-033,2022-02-23,2022,Caída de Casado tras la guerra con Ayuso,Liderazgo partidario,Nacional,liderazgo y credibilidad,La crisis entre Casado y Ayuso acabó con la salida del líder del PP y abrió paso a un relevo acelerado.,"PP, Vox, PSOE, Ciudadanos",PP (mixto); Vox (+ corto plazo); PSOE (+ corto plazo); Ciudadanos (-),"La guerra interna dañó al PP en el corto plazo, pero a la vez permitió una renovación que luego facilitó su reunificación bajo Feijóo.",5,Alta,https://www.reuters.com/site-search/?query=Casado+quits+Ayuso+crisis+February+2022+Spain | https://www.pp.es/ | https://es.wikipedia.org/wiki/Crisis_interna_del_Partido_Popular_de_2022
ESP-034,2022-02-24,2022,"Guerra de Ucrania, inflación y shock energético",Economía/coste de vida,UE/internacional con spillover nacional,economía y coste de vida,"La invasión rusa de Ucrania disparó inflación y costes energéticos, condicionando toda la política económica española.","PSOE, Unidas Podemos, PP, Vox",PSOE/Unidas Podemos (-); PP (+); Vox (+),"Los shocks de precios suelen penalizar a gobiernos en ejercicio, incluso cuando el origen es externo, y benefician a la oposición en el eje coste de vida.",5,Alta,https://www.reuters.com/site-search/?query=Spain+inflation+Ukraine+war+2022+Reuters | https://www.bde.es/ | https://www.lamoncloa.gob.es/
ESP-035,2022-03-18,2022,Giro del Gobierno sobre el Sáhara Occidental,Justicia/territorial,Nacional,competencia centro-periferia,"Sánchez respaldó el plan de autonomía marroquí para el Sáhara y abrió un choque con socios de coalición, Argelia y parte de su base.","PSOE, Unidas Podemos, PP, ERC, EH Bildu",PSOE (-); Unidas Podemos (-); ERC/EH Bildu (+ de presión); PP (mixto),"El cambio dañó cohesión interna y credibilidad programática del Gobierno entre votantes progresistas e internacionalistas, a la vez que tensó relaciones con sus socios parlamentarios.",4,Alta,https://www.reuters.com/site-search/?query=Spain+Sahara+Morocco+shift+March+2022+Sanchez | https://www.lamoncloa.gob.es/ | https://www.congreso.es/
ESP-036,2022-04-02,2022,Feijóo asume el liderazgo nacional del PP,Liderazgo partidario,Nacional,liderazgo y credibilidad,Alberto Núñez Feijóo fue elegido presidente del PP con el objetivo de reunificar al partido y presentarlo como alternativa de gobierno.,"PP, Vox, PSOE, Ciudadanos",PP (+); Vox (-); PSOE (-); Ciudadanos (-),El relevo mejoró la percepción de solvencia del PP y atrajo voto útil tanto del centro como de una parte de la derecha que dudaba entre PP y Vox.,4,Alta,https://www.reuters.com/site-search/?query=Feijoo+elected+PP+leader+April+2022 | https://www.pp.es/ | https://es.wikipedia.org/wiki/Alberto_N%C3%BA%C3%B1ez_Feij%C3%B3o
ESP-037,2022-05-02,2022,Caso Pegasus y destitución de la directora del CNI,Corrupción/escándalo,Nacional,territorial,Las revelaciones sobre espionaje con Pegasus a líderes independentistas y al propio Sánchez deterioraron la relación del Gobierno con ERC y otros socios.,"PSOE, Unidas Podemos, PP, Vox, ERC, Junts",PSOE (-); ERC (+); Junts (+); PP/Vox (+); Unidas Podemos (-),"La crisis mezcló seguridad, derechos y confianza entre aliados. Penalizó al Gobierno por pérdida de control y reforzó el poder de negociación de los partidos independentistas.",4,Alta,https://www.reuters.com/site-search/?query=Spain+Pegasus+scandal+May+2022+Sanchez+CNI | https://www.lamoncloa.gob.es/ | https://www.congreso.es/
ESP-038,2022-06-19,2022,Mayoría absoluta del PP en Andalucía,Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque derecha,"Juanma Moreno logró mayoría absoluta, el PSOE volvió a quedar lejos y Vox no pudo capitalizar tanto como esperaba.","PP, PSOE, Vox, Ciudadanos, Unidas Podemos",PP (++); PSOE (-); Vox (-); Ciudadanos (--); Unidas Podemos (-),"Andalucía reforzó la tesis de que el PP podía crecer absorbiendo al centro y contener a Vox, una señal muy importante para las generales de 2023.",5,Alta,https://www.reuters.com/site-search/?query=Andalusia+election+absolute+majority+PP+June+2022 | https://es.wikipedia.org/wiki/Elecciones_al_Parlamento_de_Andaluc%C3%ADa_de_2022 | https://www.infoelectoral.interior.gob.es/
ESP-039,2022-06-24,2022,Tragedia de Melilla,Gestión de crisis,Nacional,inmigración,La muerte de decenas de personas en la valla de Melilla generó una fuerte controversia sobre la actuación policial y la respuesta del Gobierno.,"PSOE, Unidas Podemos, PP, Vox",PSOE (-); Unidas Podemos (-); Vox (+); PP (mixto),"El episodio abrió una brecha entre el Gobierno y su electorado progresista en derechos humanos, mientras la derecha encontró un marco de control fronterizo y orden.",4,Alta,https://www.reuters.com/site-search/?query=Melilla+border+deaths+June+2022+Spain | https://www.lamoncloa.gob.es/ | https://www.congreso.es/
ESP-040,2022-07-12,2022,Anuncio del impuesto extraordinario a banca y energéticas,Economía/coste de vida,Nacional,economía y coste de vida,El Gobierno anunció nuevos gravámenes extraordinarios a banca y energéticas para responder a la crisis de precios.,"PSOE, Unidas Podemos, PP, Vox",PSOE (+); Unidas Podemos (+); PP/Vox (-),Sirvió para reactivar una agenda redistributiva útil para la izquierda y para subrayar diferencias ideológicas claras con PP y Vox en un contexto de inflación.,3,Media,https://www.reuters.com/site-search/?query=Spain+windfall+tax+banks+energy+July+2022 | https://www.lamoncloa.gob.es/ | https://www.boe.es/
ESP-041,2022-08-25,2022,Aprobación final de la ley del solo sí es sí,Agenda social,Nacional,movilización ideológica,"El Congreso dio luz verde a la ley del consentimiento, una de las principales banderas del Ministerio de Igualdad.","PSOE, Unidas Podemos, PP, Vox",Unidas Podemos (+); PSOE (+); PP/Vox (+ reactivo),"En su aprobación inicial reforzó la identidad feminista del bloque de gobierno, aunque también activó oposición intensa en la derecha y elevó el coste de cualquier error posterior.",3,Media,https://www.reuters.com/site-search/?query=Spain+only+yes+means+yes+law+approved+August+2022 | https://www.boe.es/ | https://www.congreso.es/
ESP-042,2022-11-16,2022,Rebajas de condena por la ley del solo sí es sí,Corrupción/escándalo,Nacional,liderazgo y credibilidad,Las primeras revisiones a la baja de penas a agresores sexuales cambiaron por completo la lectura política de la ley.,"PSOE, Unidas Podemos, PP, Vox",PSOE (-); Unidas Podemos (--); PP (+); Vox (+),"Fue un shock muy dañino porque combinó alta visibilidad mediática con un tema sensible y claro ownership del bloque de gobierno, en especial de Unidas Podemos.",5,Alta,https://www.reuters.com/site-search/?query=Spain+sentence+reductions+only+yes+means+yes+November+2022 | https://www.poderjudicial.es/ | https://www.boe.es/
